date,month,vendor,pickup_time,dropoff_time,duration,passengers,distance,start_long,start_lat,end_long,end_lat,payment_type,fare,surcharge,tip,tolls,total
2009-01-01,2009-01,CMT,2009-01-01D00:04:48.000000000,2009-01-01D00:15:58.000000000,0D00:11:10.000000000,2,1.9,0,0,0,0,CREDIT,8.6,0,0.6,0,9.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:49.000000000,2009-01-01D00:24:45.000000000,0D00:19:56.000000000,2,7.7,-73.99069,40.74412,-73.94695,40.8168,CASH,21,0,0,0,21
2009-01-01,2009-01,CMT,2009-01-01D00:04:50.000000000,2009-01-01D00:15:52.000000000,0D00:11:02.000000000,2,3.5,-74.00498,40.74082,-73.98437,40.78336,CASH,11,0,0,0,11
2009-01-01,2009-01,CMT,2009-01-01D00:04:50.000000000,2009-01-01D00:15:09.000000000,0D00:10:19.000000000,1,2.9,-73.99238,40.71492,-73.97339,40.68612,CREDIT,10.2,0,2.04,0,12.24
2009-01-01,2009-01,CMT,2009-01-01D00:04:51.000000000,2009-01-01D00:34:00.000000000,0D00:29:09.000000000,1,4.6,-74.00726,40.74002,-73.95438,40.76995,CASH,17.8,0,0,0,17.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:51.000000000,2009-01-01D00:12:43.000000000,0D00:07:52.000000000,2,0.8,0,0,0,0,CASH,6.2,0,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:51.000000000,2009-01-01D00:22:05.000000000,0D00:17:14.000000000,1,5.9,-73.94886,40.77746,-74.00163,40.73522,CASH,17,0,0,0,17
2009-01-01,2009-01,CMT,2009-01-01D00:04:51.000000000,2009-01-01D00:06:29.000000000,0D00:01:38.000000000,1,0.6,-73.9626,40.75899,-73.95623,40.76751,CASH,4.2,0,0,0,4.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:52.000000000,2009-01-01D00:24:23.000000000,0D00:19:31.000000000,1,3.7,-73.9924,40.73059,-73.95405,40.76632,CASH,12.2,0,0,0,12.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:52.000000000,2009-01-01D00:08:50.000000000,0D00:03:58.000000000,3,0.8,-73.98065,40.76053,-73.97029,40.7586,CASH,5,0,0,0,5
2009-01-01,2009-01,CMT,2009-01-01D00:04:52.000000000,2009-01-01D00:09:50.000000000,0D00:04:58.000000000,1,1,-74.00168,40.73935,-73.9888,40.73131,CASH,5.8,0,0,0,5.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:52.000000000,2009-01-01D00:30:42.000000000,0D00:25:50.000000000,1,5.9,-74.00207,40.73276,-73.92467,40.7523,CASH,18.6,0,0,0,18.6
2009-01-01,2009-01,CMT,2009-01-01D00:04:53.000000000,2009-01-01D00:10:11.000000000,0D00:05:18.000000000,1,2,-73.97749,40.78447,-73.95903,40.80952,CASH,7,0,0,0,7
2009-01-01,2009-01,CMT,2009-01-01D00:04:53.000000000,2009-01-01D00:10:06.000000000,0D00:05:13.000000000,1,1.4,-73.94743,40.81824,-73.94842,40.82415,CASH,6.2,0,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:53.000000000,2009-01-01D00:08:03.000000000,0D00:03:10.000000000,1,0.4,-73.98111,40.74173,-73.98416,40.74616,CREDIT,4.2,0,1,0,5.2
2009-01-01,2009-01,DDS,2009-01-01D00:04:54.000000000,2009-01-01D00:26:20.000000000,0D00:21:26.000000000,2,3.9,-73.97971,40.76042,-73.9908,40.71832,CASH,13.3,0.5,0,0,13.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:54.000000000,2009-01-01D00:16:06.000000000,0D00:11:12.000000000,1,4.5,-73.97716,40.76449,-73.91447,40.77157,CASH,13,0,0,0,13
2009-01-01,2009-01,CMT,2009-01-01D00:04:54.000000000,2009-01-01D00:10:04.000000000,0D00:05:10.000000000,2,0.5,-73.98708,40.75076,-73.98091,40.75121,CASH,5,0,0,0,5
2009-01-01,2009-01,CMT,2009-01-01D00:04:55.000000000,2009-01-01D00:20:29.000000000,0D00:15:34.000000000,1,2,-73.99374,40.72734,-73.99098,40.75009,CASH,10.2,0,0,0,10.2
